Farmer_ID,Farmer_Name,Location,Crop,Season,Quantity_Produced,Quantity_Sold,Market_Price,Date_of_Sale,Demand_Index,Recommended_Crop
F0109,Purab J.,Bihar,Maize,Rabi,3073,2982,18,2022-03-11,5,Bajra
F0110,Mahika C.,Karnataka,Onion,Zaid,2507,2495,17,2023-02-01,6,Mustard
F0111,Aarush S.,Madhya Pradesh,Mustard,Kharif,3371,3278,55,2022-09-18,5,Maize
F0112,Aniruddh K.,Rajasthan,Bajra,Rabi,2118,2028,26,2023-03-18,10,Tomato
F0113,Vardaniya G.,Rajasthan,Potato,Zaid,3330,3144,25,2023-06-11,4,Bajra
F0114,Ishita S.,Uttar Pradesh,Groundnut,Kharif,892,762,52,2022-09-23,4,Tomato
F0115,Zain S.,Madhya Pradesh,Mustard,Zaid,1752,1629,52,2023-04-09,1,Wheat
F0116,Himmat V.,Rajasthan,Soybean,Rabi,2299,2254,47,2023-06-30,3,Rice
F0117,Shaan R.,Gujarat,Sugarcane,Kharif,4455,4329,4,2023-11-10,7,Tomato
F0118,Faiyaz B.,Karnataka,Potato,Kharif,4866,4752,20,2022-03-20,6,Sugarcane
F0119,Divij J.,Punjab,Tomato,Kharif,1594,1460,12,2023-11-25,8,Wheat
F0120,Anaya A.,Madhya Pradesh,Onion,Kharif,2617,2572,24,2023-03-12,9,Onion
F0121,Anaya S.,Bihar,Soybean,Zaid,1230,1212,48,2023-02-03,2,Potato
F0122,Shayak D.,Rajasthan,Wheat,Kharif,3362,3331,28,2024-07-10,2,Wheat
F0123,Ehsaan D.,Gujarat,Cotton,Kharif,1515,1513,64,2022-07-07,6,Soybean
F0124,Veer H.,Punjab,Soybean,Kharif,2116,2090,55,2022-04-10,5,Potato
F0125,Pranay C.,Madhya Pradesh,Cotton,Zaid,4947,4879,61,2022-02-04,1,Wheat
F0126,Bhamini B.,Gujarat,Wheat,Kharif,2358,2293,21,2024-05-27,10,Tomato
F0127,Anahi C.,Madhya Pradesh,Wheat,Kharif,4927,4814,21,2023-09-24,6,Soybean
F0128,Zoya C.,Gujarat,Sugarcane,Rabi,1927,1860,4,2022-12-07,8,Soybean
F0129,Yuvraj  B.,Madhya Pradesh,Soybean,Rabi,3049,2959,44,2022-08-13,2,Potato
F0130,Anya L.,Madhya Pradesh,Mustard,Zaid,2547,2394,60,2023-09-05,10,Wheat
F0131,Dhruv D.,Maharashtra,Groundnut,Rabi,1280,1201,47,2022-03-11,10,Groundnut
F0132,Advika C.,Gujarat,Tomato,Kharif,2163,2062,20,2024-02-10,8,Mustard
F0133,Shaan R.,Uttar Pradesh,Cotton,Rabi,961,936,57,2024-02-22,10,Wheat
F0134,Pranay M.,Madhya Pradesh,Tomato,Zaid,3314,3145,9,2023-09-29,5,Potato
F0135,Siya D.,Karnataka,Potato,Zaid,2751,2588,22,2024-07-15,8,Mustard
F0136,Ivan S.,Bihar,Mustard,Kharif,4521,4391,54,2023-10-07,8,Onion
F0137,Advika B.,Rajasthan,Maize,Kharif,1469,1460,22,2023-01-15,1,Soybean
F0138,Shaan M.,Maharashtra,Rice,Zaid,1821,1692,32,2023-05-23,1,Maize
F0139,Shayak B.,Uttar Pradesh,Maize,Rabi,1104,955,26,2022-08-06,1,Rice
F0140,Arhaan L.,Madhya Pradesh,Maize,Kharif,1079,934,19,2022-05-10,3,Bajra
F0141,Piya K.,Madhya Pradesh,Bajra,Kharif,2781,2719,25,2022-04-24,3,Onion
F0142,Mahika B.,Karnataka,Sugarcane,Kharif,3392,3317,4,2023-11-13,10,Potato
F0143,Yuvaan M.,Madhya Pradesh,Soybean,Rabi,4064,4048,49,2023-03-10,10,Groundnut
F0144,Kimaya S.,Maharashtra,Onion,Rabi,3627,3613,19,2023-02-15,4,Onion
F0145,Parinaaz S.,Rajasthan,Rice,Kharif,1285,1094,31,2023-05-15,5,Bajra
F0146,Yashvi R.,Gujarat,Bajra,Zaid,2792,2711,22,2023-06-24,7,Rice
F0147,Pari S.,Maharashtra,Sugarcane,Zaid,2867,2821,5,2024-02-24,2,Potato
F0148,Anya G.,Punjab,Groundnut,Zaid,918,800,54,2024-04-14,3,Sugarcane
F0149,Shanaya S.,Rajasthan,Tomato,Zaid,1709,1629,14,2022-04-29,7,Potato
F0150,Manjari S.,Punjab,Potato,Zaid,2041,1920,15,2022-09-03,2,Maize
F0151,Alisha A.,Madhya Pradesh,Maize,Zaid,1881,1853,28,2023-06-12,4,Mustard
F0152,Aarav S.,Gujarat,Tomato,Zaid,976,851,14,2024-02-28,5,Groundnut
F0153,Gatik K.,Bihar,Maize,Rabi,3825,3720,26,2022-03-10,3,Potato
F0154,Romil W.,Punjab,Wheat,Kharif,3445,3287,20,2023-09-12,10,Rice
F0155,Yakshit K.,Rajasthan,Mustard,Rabi,1467,1407,58,2023-09-25,3,Groundnut
F0156,Azad H.,Maharashtra,Mustard,Rabi,4288,4270,54,2023-07-18,9,Soybean
F0157,Priyansh K.,Karnataka,Tomato,Rabi,3758,3658,8,2023-03-16,6,Soybean
F0158,Saksham C.,Uttar Pradesh,Onion,Kharif,3039,2935,17,2023-12-05,7,Wheat
F0159,Aaryahi S.,Bihar,Wheat,Kharif,2305,2264,24,2023-10-07,3,Rice
F0160,Sara C.,Bihar,Soybean,Zaid,3879,3794,40,2022-11-26,1,Bajra
F0161,Tejas D.,Karnataka,Wheat,Kharif,3320,3213,22,2022-06-15,8,Wheat
F0162,Yuvaan C.,Punjab,Tomato,Zaid,4724,4559,18,2022-03-14,3,Groundnut
F0163,Aarav S.,Rajasthan,Onion,Rabi,2568,2542,14,2024-02-21,8,Maize
F0164,Anya T.,Maharashtra,Mustard,Zaid,967,926,58,2022-03-25,5,Potato
F0165,Vedika K.,Bihar,Bajra,Zaid,1482,1440,22,2024-07-12,6,Wheat
F0166,Oorja D.,Karnataka,Sugarcane,Zaid,2768,2661,5,2023-12-21,3,Sugarcane
F0167,Renee G.,Uttar Pradesh,Soybean,Kharif,3399,3350,47,2022-02-06,3,Bajra
F0168,Ishita K.,Maharashtra,Bajra,Kharif,887,878,26,2023-12-27,7,Mustard
F0169,Aniruddh M.,Uttar Pradesh,Tomato,Zaid,1932,1744,17,2022-11-29,6,Cotton
F0170,Prisha B.,Rajasthan,Onion,Zaid,3291,3122,23,2024-02-26,4,Maize
F0171,Vardaniya G.,Bihar,Groundnut,Kharif,4006,3936,63,2022-03-20,2,Potato
F0172,Nayantara J.,Bihar,Potato,Zaid,4967,4872,19,2024-06-18,2,Wheat
F0173,Vardaniya W.,Gujarat,Wheat,Zaid,3608,3559,29,2024-02-29,7,Tomato
F0174,Dhanush H.,Gujarat,Sugarcane,Zaid,4975,4939,3,2022-11-24,1,Tomato
F0175,Shayak B.,Uttar Pradesh,Bajra,Rabi,3882,3765,19,2024-03-31,10,Tomato
F0176,Rati T.,Maharashtra,Potato,Rabi,2911,2780,12,2022-10-21,4,Potato
F0177,Kismat C.,Rajasthan,Rice,Rabi,2644,2521,28,2023-02-11,2,Bajra
F0178,Armaan G.,Punjab,Potato,Zaid,1122,1086,19,2023-10-05,8,Soybean
F0179,Arnav G.,Gujarat,Maize,Zaid,2087,1988,26,2022-03-10,9,Bajra
F0180,Anvi B.,Rajasthan,Sugarcane,Zaid,3893,3708,5,2022-12-11,9,Mustard
F0181,Prerak M.,Bihar,Mustard,Kharif,3066,2948,48,2022-07-03,7,Maize
F0182,Bhamini S.,Madhya Pradesh,Wheat,Rabi,4339,4139,21,2023-07-05,10,Groundnut
F0183,Vaibhav S.,Rajasthan,Soybean,Rabi,4374,4280,54,2023-08-19,8,Tomato
F0184,Kaira C.,Rajasthan,Cotton,Rabi,1235,1070,64,2023-05-25,8,Soybean
F0185,Samaira V.,Bihar,Onion,Kharif,4989,4913,17,2023-08-17,6,Bajra
F0186,Akarsh S.,Rajasthan,Tomato,Zaid,4198,4074,11,2024-02-01,8,Cotton
F0187,Aarna R.,Rajasthan,Sugarcane,Kharif,1581,1435,5,2024-06-02,8,Wheat
F0188,Suhana K.,Maharashtra,Groundnut,Rabi,4292,4214,56,2022-03-31,10,Tomato
F0189,Shalv C.,Bihar,Bajra,Rabi,4868,4695,21,2024-07-09,5,Soybean
F0190,Anaya G.,Gujarat,Tomato,Zaid,933,929,12,2022-02-25,6,Soybean
F0191,Divij B.,Bihar,Groundnut,Zaid,1955,1943,60,2022-02-08,3,Cotton
F0192,Advik M.,Uttar Pradesh,Sugarcane,Kharif,2408,2341,3,2023-04-05,5,Groundnut
F0193,Rasha S.,Maharashtra,Bajra,Zaid,2296,2199,19,2022-04-13,8,Potato
F0194,Farhan K.,Rajasthan,Maize,Zaid,1845,1776,25,2023-06-17,5,Wheat
F0195,Hunar A.,Punjab,Rice,Zaid,879,693,25,2024-04-23,9,Potato
F0196,Madhav B.,Gujarat,Tomato,Rabi,4024,3884,12,2023-08-12,10,Rice
F0197,Krish K.,Bihar,Mustard,Kharif,4665,4519,54,2024-03-20,7,Onion
F0198,Pranay V.,Uttar Pradesh,Maize,Kharif,952,910,24,2022-07-21,9,Soybean
F0199,Vanya G.,Punjab,Groundnut,Rabi,2264,2152,60,2023-09-15,8,Rice
F0200,Riya D.,Maharashtra,Sugarcane,Kharif,3316,3277,5,2023-12-17,10,Cotton
F0201,Uthkarsh K.,Punjab,Cotton,Rabi,1318,1222,68,2022-11-25,9,Potato
F0202,Chirag L.,Maharashtra,Rice,Kharif,4811,4805,26,2022-07-19,10,Mustard
F0203,Nitya G.,Uttar Pradesh,Bajra,Kharif,4645,4525,22,2022-04-22,6,Potato
F0204,Yasmin D.,Uttar Pradesh,Bajra,Rabi,3907,3808,22,2024-07-21,6,Rice
F0205,Shayak D.,Rajasthan,Groundnut,Kharif,1204,1092,59,2023-09-08,8,Soybean
F0206,Ishaan C.,Gujarat,Potato,Kharif,4115,4024,23,2023-04-08,7,Cotton
F0207,Riya B.,Bihar,Wheat,Kharif,1882,1709,21,2024-01-15,6,Groundnut
F0208,Ivan W.,Rajasthan,Sugarcane,Kharif,1109,935,5,2023-09-09,4,Wheat
F0209,Myra B.,Rajasthan,Groundnut,Rabi,2413,2374,46,2023-02-01,9,Tomato
F0210,Yakshit D.,Punjab,Wheat,Zaid,2674,2530,30,2023-03-26,4,Maize
F0211,Emir K.,Rajasthan,Tomato,Zaid,2075,1996,17,2022-06-16,5,Sugarcane
F0212,Ira B.,Maharashtra,Mustard,Zaid,2546,2525,54,2023-05-21,9,Wheat
F0213,Urvi H.,Uttar Pradesh,Tomato,Zaid,2764,2761,16,2024-06-24,2,Tomato
F0214,Renee G.,Punjab,Soybean,Rabi,4971,4887,41,2022-01-18,4,Cotton
F0215,Shlok S.,Uttar Pradesh,Wheat,Kharif,919,839,30,2022-01-27,5,Maize
F0216,Nayantara Z.,Uttar Pradesh,Wheat,Zaid,1188,1182,30,2022-11-13,1,Onion
F0217,Gatik D.,Rajasthan,Mustard,Zaid,3019,2995,50,2023-04-19,2,Soybean
F0218,Kanav S.,Karnataka,Bajra,Kharif,4661,4556,18,2023-08-12,8,Maize
F0219,Tanya D.,Rajasthan,Wheat,Rabi,3724,3719,23,2022-11-20,2,Cotton
F0220,Advik D.,Bihar,Wheat,Rabi,4104,3979,30,2023-11-23,10,Sugarcane
F0221,Sana V.,Rajasthan,Soybean,Kharif,4330,4192,47,2023-12-23,6,Rice
F0222,Aaryahi K.,Punjab,Soybean,Rabi,4108,3981,45,2022-04-10,8,Onion
F0223,Faiyaz D.,Gujarat,Wheat,Rabi,3151,3142,27,2023-02-11,4,Bajra
F0224,Devansh B.,Karnataka,Bajra,Kharif,4269,4107,26,2022-03-24,6,Maize
F0225,Tiya K.,Punjab,Sugarcane,Zaid,1880,1719,5,2023-12-04,1,Bajra
F0226,Emir S.,Karnataka,Mustard,Kharif,2260,2155,54,2022-09-21,3,Tomato
F0227,Priyansh D.,Maharashtra,Groundnut,Rabi,4153,4131,53,2022-10-19,7,Mustard
F0228,Navya L.,Madhya Pradesh,Sugarcane,Zaid,2166,2160,3,2023-06-16,3,Soybean
F0229,Vedika T.,Gujarat,Cotton,Kharif,4496,4355,55,2022-04-27,8,Rice
F0230,Zeeshan B.,Karnataka,Onion,Zaid,2923,2892,16,2023-02-01,9,Cotton
F0231,Dharmajan D.,Rajasthan,Potato,Zaid,2866,2755,12,2023-07-25,8,Cotton
F0232,Romil A.,Madhya Pradesh,Cotton,Zaid,3096,3086,56,2023-02-25,4,Cotton
F0233,Vivaan C.,Rajasthan,Potato,Rabi,1285,1239,23,2023-04-18,1,Sugarcane
F0234,Tiya D.,Maharashtra,Bajra,Zaid,1078,933,25,2023-05-04,8,Tomato
F0235,Ishaan B.,Madhya Pradesh,Sugarcane,Zaid,1706,1697,5,2023-12-07,9,Tomato
F0236,Saira A.,Bihar,Groundnut,Zaid,1722,1657,48,2023-09-17,7,Maize
F0237,Anya K.,Punjab,Tomato,Zaid,2171,2121,12,2022-06-09,9,Tomato
F0238,Amira K.,Karnataka,Wheat,Rabi,1272,1268,23,2022-12-26,3,Tomato
F0239,Piya A.,Punjab,Groundnut,Rabi,4469,4371,62,2023-08-09,1,Rice
F0240,Samar K.,Karnataka,Soybean,Kharif,3329,3303,51,2022-05-04,8,Rice
F0241,Anvi B.,Rajasthan,Maize,Zaid,808,796,26,2024-01-03,4,Bajra
F0242,Nirvaan R.,Uttar Pradesh,Rice,Rabi,1860,1681,31,2023-11-22,7,Onion
F0243,Samaira H.,Uttar Pradesh,Sugarcane,Kharif,1414,1327,3,2022-07-03,10,Soybean
F0244,Oorja W.,Uttar Pradesh,Tomato,Kharif,2893,2807,18,2022-11-05,6,Potato
F0245,Kimaya B.,Karnataka,Bajra,Rabi,4865,4755,23,2023-03-17,3,Wheat
F0246,Mohanlal C.,Karnataka,Cotton,Zaid,1067,920,73,2022-05-06,10,Onion
F0247,Yashvi A.,Karnataka,Cotton,Rabi,1430,1348,68,2023-11-29,7,Tomato
F0248,Pari G.,Madhya Pradesh,Tomato,Zaid,2725,2553,18,2023-02-03,6,Maize
F0249,Aaina B.,Maharashtra,Onion,Rabi,2232,2044,12,2023-05-03,6,Sugarcane
F0250,Jiya T.,Rajasthan,Wheat,Zaid,3510,3345,20,2024-03-12,10,Groundnut
F0251,Shalv B.,Rajasthan,Sugarcane,Zaid,2525,2483,5,2023-08-29,2,Mustard
F0252,Mahika H.,Maharashtra,Wheat,Rabi,4018,3990,22,2023-07-11,2,Onion
F0253,Raunak S.,Gujarat,Soybean,Kharif,2122,2098,42,2023-02-15,5,Maize
F0254,Akarsh S.,Punjab,Sugarcane,Rabi,4459,4276,5,2024-06-10,4,Mustard
F0255,Pari B.,Bihar,Sugarcane,Kharif,4732,4539,5,2023-05-31,10,Soybean
F0256,Adira S.,Maharashtra,Soybean,Kharif,1610,1601,40,2023-05-29,9,Maize
F0257,Ivan S.,Rajasthan,Rice,Rabi,4813,4729,34,2023-06-28,10,Maize
F0258,Adah S.,Madhya Pradesh,Cotton,Rabi,3221,3061,58,2024-02-12,2,Cotton
F0259,Aradhya K.,Rajasthan,Potato,Rabi,3785,3748,16,2022-01-09,3,Cotton
F0260,Samiha R.,Maharashtra,Potato,Kharif,4726,4610,13,2024-02-17,5,Maize
F0261,Umang S.,Uttar Pradesh,Wheat,Kharif,4865,4735,26,2023-10-13,8,Groundnut
F0262,Dishani B.,Maharashtra,Wheat,Kharif,1505,1410,22,2023-02-13,6,Soybean
F0263,Riaan W.,Maharashtra,Groundnut,Rabi,1166,1041,58,2022-08-30,2,Potato
F0264,Shanaya J.,Rajasthan,Cotton,Rabi,2624,2437,67,2023-02-26,8,Onion
F0265,Riya K.,Bihar,Onion,Kharif,2645,2574,28,2023-03-19,10,Soybean
F0266,Tanya K.,Bihar,Soybean,Kharif,2870,2693,45,2023-01-02,2,Tomato
F0267,Lakshay B.,Gujarat,Sugarcane,Rabi,4860,4763,3,2022-03-22,7,Soybean
F0268,Khushi T.,Uttar Pradesh,Cotton,Zaid,988,977,58,2022-06-20,6,Onion
F0269,Rhea K.,Karnataka,Rice,Zaid,4692,4541,33,2023-10-04,6,Onion
F0270,Amira D.,Punjab,Groundnut,Rabi,2642,2509,59,2023-06-05,2,Groundnut
F0271,Tanya L.,Rajasthan,Potato,Zaid,3073,2969,18,2023-07-27,10,Tomato
F0272,Hazel B.,Maharashtra,Groundnut,Rabi,4606,4590,46,2022-08-27,3,Soybean
F0273,Ahana  B.,Uttar Pradesh,Sugarcane,Kharif,4150,4019,5,2022-01-17,9,Maize
F0274,Sana B.,Maharashtra,Bajra,Kharif,2590,2570,24,2023-06-10,7,Soybean
F0275,Amira B.,Uttar Pradesh,Rice,Rabi,3416,3385,33,2023-03-16,7,Mustard
F0276,Samaira K.,Gujarat,Sugarcane,Kharif,909,766,3,2022-12-12,8,Cotton
F0277,Biju B.,Uttar Pradesh,Onion,Kharif,4898,4881,12,2023-04-22,3,Cotton
